Percentile;Year;atiwgo_999_i_GB
pall;1970;1961.0
pall;1971;1892.6
pall;1972;1774.8
pall;1973;1823.4
pall;1974;2116.2
pall;1975;1961.8
pall;1976;2078.4
pall;1977;1973.1
pall;1978;2026.5
pall;1979;1953.8
pall;1980;2036.0
pall;1981;2351.5
pall;1982;2501.9
pall;1983;2568.8
pall;1984;2644.6
pall;1985;2681.3
pall;1986;2737.9
pall;1987;2697.6
pall;1988;2802.3
pall;1989;2962.8
pall;1990;3016.2
pall;1991;2910.2
pall;1992;2797.8
pall;1993;2592.2
pall;1994;2779.6
pall;1995;2883.4
pall;1996;2901.2
pall;1997;3162.5
pall;1998;3629.5
pall;1999;3751.1
pall;2000;4046.1
pall;2001;4105.8
pall;2002;3913.8
pall;2003;3888.0
pall;2004;4131.3
pall;2005;4399.4
pall;2006;4472.2
pall;2007;4604.2
pall;2008;4576.7
pall;2009;4356.0
pall;2010;4170.4
pall;2011;4203.9
pall;2012;4097.3
pall;2013;4133.5
pall;2014;4090.1
pall;2015;4194.6
pall;2016;4357.7
pall;2017;4483.0
pall;2018;4562.7
pall;2019;4587.9
